,,,,,,,,
ETF NSE Code,Underlying Asset,CMP,20 DMA,CMP-20 DMA,% Change 20 DMA Vs CMP,Today Buy,,
NSE:MONQ50,Nasdaq Q-50 Total Return Index,64.15,62.49,1.66,2.6581,,,
NSE:MOVALUE,Motilal Oswal S&P BSE Enhanced Value ETF,110.79,108.18,2.61,2.4131,,,
NSE:PVTBANIETF,Nifty Private Bank Index,26.66,26.44,0.22,0.8511,,,
NSE:KOTAKNIFTY,Nifty 50,#N/A,#N/A,#N/A,#N/A,,,
NSE:HDFCBSE500,HDFC S&P BSE 500 ETF,38.6,38.22,0.38,0.9824,,,
NSE:KOTAKPSUBK,Nifty PSU Bank,#N/A,#N/A,#N/A,#N/A,,,
NSE:HDFCNIFTY,Nifty 50,284.99,281.59,3.40,1.2078,,,
NSE:ITETF,Mirae Asset Nifty IT ETF,43.18,43.26,-0.08,-0.1849,,,
NSE:SBIETFQLTY,Nifty 200 Quality 30 Index,250.03,247.61,2.42,0.9757,,,
NSE:HDFCLOWVOL,HDFC NIFTY100 Low Volatility 30 ETF,21.73,21.48,0.25,1.1756,,,
NSE:HDFCNIF100,HDFC NIFTY 100 ETF,27.3,27.05,0.25,0.9242,,,
NSE:KOTAKMID50,Nifty Midcap 50 Index,#N/A,#N/A,#N/A,#N/A,,,
NSE:QUAL30IETF,ICICI Prudential Nifty 200 Quality 30 ETF,23.71,23.53,0.18,0.7778,,,
NSE:NV20BEES,Nifty50 Value20 TRI,167,164.53,2.47,1.4997,,,
NSE:SETFNN50,Nifty Next 50,815,799.90,15.10,1.8877,,,
NSE:SENSEXETF,Mirae Asset S&P BSE Sensex ETF,85.14,84.38,0.76,0.8995,,,
NSE:DSPNEWETF,NIFTY 50 Equal Weight Index,#N/A,#N/A,#N/A,#N/A,,,
NSE:DSPPVBKETF,DSP Nifty Private Bank ETF,#N/A,#N/A,#N/A,#N/A,,,
NSE:NIF100BEES,Nifty 100 TRI,285.3,278.96,6.34,2.2740,,,
NSE:KOTAKBKETF,Nifty Bank,#N/A,#N/A,#N/A,#N/A,,,
NSE:KOTAKMNC,Kotak Nifty MNC ETF,#N/A,#N/A,#N/A,#N/A,,,
NSE:FMCGIETF,Nifty FMCG Index,69,68.20,0.81,1.1804,,,
NSE:KOTAKNV20,Nifty50 Value 20,#N/A,#N/A,#N/A,#N/A,,,
NSE:HDFCNEXT50,HDFC NIFTY NEXT 50 ETF,78.3,76.53,1.77,2.3128,,,
NSE:AXISBNKETF,Nifty Bank,541.74,536.47,5.27,0.9823,,,
NSE:SBIETFIT,Nifty IT Index,453.5,453.67,-0.17,-0.0367,,,
NSE:DSPITETF,DSP Nifty IT ETF,#N/A,#N/A,#N/A,#N/A,,,
NSE:ABSLNN50ET,Nifty Next 50,80.23,78.53,1.70,2.1667,,,
NSE:MAKEINDIA,Nifty India Manufacturing Total Return Index,158.53,154.29,4.24,2.7494,,,
